ID,Team,Conference
1,Inter Miami,Eastern
2,New England Revolution,Eastern
3,Nashville SC,Eastern
4,Atlanta Utd,Eastern
5,FC Cincinnati,Eastern
6,Orlando City,Eastern
7,Philadelphia Union,Eastern
8,Columbus Crew,Eastern
9,DC United,Eastern
10,Chicago Fire,Eastern
11,Toronto FC,Eastern
12,New York Red Bulls,Eastern
13,New York City,Eastern
14,Charlotte,Eastern
15,CF Montreal,Eastern
16,Seattle Sounders,Western
17,St. Louis City,Western
18,Los Angeles FC,Western
19,FC Dallas,Western
20,Minnesota United,Western
21,Portland Timbers,Western
22,San Jose Earthquakes,Western
23,Austin FC,Western
24,Real Salt Lake,Western
25,Sporting Kansas City,Western
26,Colorado Rapids,Western
27,Vancouver Whitecaps,Western
28,Los Angeles Galaxy,Western
29,Houston Dynamo,Western
30,Chivas USA,Western
